what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.seam.ui.pages,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.seam.ui.pages",1301251669863
stopped,bundle,org.jboss.tools.seam.xml.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.seam.xml.ui",1301251669864
stopped,bundle,org.jboss.tools.jst.web.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web.ui",1301251669864
stopped,bundle,org.jboss.tools.vpe.docbook,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.docbook",1301251669864
stopped,bundle,org.jboss.tools.vpe.html,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.html",1301251669864
stopped,bundle,org.jboss.tools.vpe.jsp,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.jsp",1301251669865
stopped,bundle,org.jboss.tools.vpe.spring,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.spring",1301251669865
stopped,bundle,org.jboss.tools.vpe,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe",1301251669865
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.ui.palette",1301251669866
stopped,bundle,org.jboss.tools.jst.jsp,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.jsp",1301251669866
stopped,bundle,org.jboss.tools.jst.text.ext,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.text.ext",1301251669866
stopped,bundle,org.jboss.tools.jst.web.kb,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web.kb",1301251669866
stopped,bundle,org.jboss.tools.common.el.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.el.ui",1301251669929
stopped,bundle,org.jboss.tools.vpe.resref,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.resref",1301251669947
stopped,bundle,org.jboss.tools.common.resref.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.resref.ui",1301251669966
stopped,bundle,org.jboss.tools.common.verification.ui,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.verification.ui",1301251669966
stopped,bundle,org.jboss.tools.hibernate.xml.ui,3.4.0.v20110215-1252-H31-GA,"org.jboss.tools.hibernate.xml.ui",1301251669977
stopped,bundle,org.jboss.tools.common.model.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.model.ui",1301251669978
stopped,bundle,org.jboss.tools.common.text.ext,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.text.ext",1301251669978
stopped,bundle,com.ibm.wasce.st.v21.core,2.1.5,"com.ibm.wasce.st.v21.core",1301251669978
stopped,bundle,com.ibm.wasce.st.core,2.1.5,"com.ibm.wasce.st.core",1301251669990
stopped,bundle,com.ibm.wasce.st.ui,2.1.5,"com.ibm.wasce.st.ui",1301251669996
stopped,bundle,com.ibm.wasce.st.v20.core,2.1.5,"com.ibm.wasce.st.v20.core",1301251670003
stopped,bundle,com.ibm.wasce.st.v20.ui,2.1.5,"com.ibm.wasce.st.v20.ui",1301251670013
stopped,bundle,com.ibm.wasce.st.v21.ui,2.1.5,"com.ibm.wasce.st.v21.ui",1301251670021
stopped,bundle,org.apache.geronimo.st.v20.ui,2.1.5,"org.apache.geronimo.st.v20.ui",1301251670022
stopped,bundle,org.apache.geronimo.st.v21.ui,2.1.5,"org.apache.geronimo.st.v21.ui",1301251670037
stopped,bundle,org.apache.geronimo.st.ui,2.1.5,"org.apache.geronimo.st.ui",1301251670043
stopped,bundle,org.apache.geronimo.st.v20.core,2.1.5,"org.apache.geronimo.st.v20.core",1301251670055
stopped,bundle,org.apache.geronimo.st.v21.core,2.1.5,"org.apache.geronimo.st.v21.core",1301251670056
stopped,bundle,org.apache.geronimo.st.core,2.1.5,"org.apache.geronimo.st.core",1301251670057
stopped,bundle,org.eclipse.tptp.trace.jvmti.client,4.5.1.v201009092123,"org.eclipse.tptp.trace.jvmti.client",1301251670076
stopped,bundle,org.eclipse.hyades.trace.views,4.1.701.v201009092123,"org.eclipse.hyades.trace.views",1301251670090
stopped,bundle,org.eclipse.tptp.platform.profile.server.core,4.3.1.v201009092123,"org.eclipse.tptp.platform.profile.server.core",1301251670097
stopped,bundle,org.eclipse.tptp.platform.jvmti.client,4.5.1.v201009092123,"org.eclipse.tptp.platform.jvmti.client",1301251670115
stopped,bundle,org.eclipse.tptp.platform.integration.pde,4.5.1.v201009092123,"org.eclipse.tptp.platform.integration.pde",1301251670127
stopped,bundle,org.eclipse.tptp.platform.probekit.launch,4.5.0.v201005061600,"org.eclipse.tptp.platform.probekit.launch",1301251670178
stopped,bundle,org.eclipse.hyades.trace.ui,4.5.101.v201009092123,"org.eclipse.hyades.trace.ui",1301251670191
stopped,bundle,org.eclipse.wb.core.databinding.xml,0.9.0.r36x201102111443,"org.eclipse.wb.core.databinding.xml",1301251670194
stopped,bundle,com.google.gdt.eclipse.designer.GXT.databinding,2.2.0.r36x201102111155,"com.google.gdt.eclipse.designer.GXT.databinding",1301251670207
